F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Class,
0.06358,0.24901,0.16696,.21702,0.15494,0.32856,0.5,0.45455,0.42857,0.41176,0.4,0.43478,0.42308,Y,
0.17102,0.34146,0.12046,0.17261,0.02101,0.24625,0.75,0.63636,0.71429,.48523,.46704,0.65217,0.61538,Y,
0.1519,0.23796,0.15317,0.22508,0.03173,0.17351,.58596,0.81818,0.85714,0.76471,0.7,0.73913,0.65385,Y,
0.09291,0.08663,0.12547,0.23807,.14264,0.08663,0.75,0.63636,0.64286,0.64706,0.65,0.6087,0.57692,Y,
0.29912,0.26033,0.09775,0.26784,0.41653,0.2531,0.5,0.45455,0.42857,0.41176,0.4,0.3913,0.34615,Y,
0.12737,0.34917,0.27291,0.39732,.14264,0.20784,0.875,.54098,.50788,0.70588,0.6,0.56522,0.57692,Y,
0.2419,0.31579,0.1677,0.23896,0.20211,0.10526,0.75,0.72727,0.64286,0.52941,0.55,.45177,0.5,Y,
0.35656,.27103,0.22471,0.26738,0.2578,0.3133,0.625,0.63636,0.64286,0.64706,0.6,0.56522,0.57692,Y,
0.5178,0.10515,0.24656,0.29614,0.09614,0.16899,0.625,0.63636,0.64286,0.64706,0.6,0.6087,0.61538,Y,
.30008,0.19444,0.42241,0.17424,0.46667,0.12153,0.5,0.45455,0.5,0.47059,0.45,0.43478,0.46154,Y,
0.39402,.27103,.2043,0.23381,0.07157,0.20966,0.75,0.63636,0.64286,0.58824,0.55,0.56522,.43945,Y,
0.37228,0.21315,0.09879,0.31071,0.2592,0.19184,0.625,0.54545,0.5,0.52941,0.5,0.47826,0.5,Y,
0.34372,0.26923,0.15164,0.4289,0.35897,0.11218,0.625,0.63636,0.57143,0.52941,0.5,0.47826,0.46154,Y,
0.28361,0.18512,.2043,0.42855,0.1481,0.1157,0.875,0.72727,0.64286,0.58824,0.6,0.56522,0.53846,Y,
0.10943,.27103,.2043,0.14935,.14264,0.13393,0.625,0.63636,.50788,.48523,0.55,0.52174,0.53846,Y,
.30008,0.2071,0.41991,0.13609,0.14359,0.27613,.58596,0.81818,0.78571,0.70588,0.65,0.69565,0.65385,Y,
0.25534,0.13333,0.25747,.21702,0.21333,0.25,0.625,0.63636,0.57143,0.64706,0.6,0.6087,0.53846,Y,
0.3054,0.26797,0.22403,.21702,.14264,0.35131,0.625,0.54545,0.57143,0.52941,0.5,0.43478,0.46154,Y,
